TIME,KW
8/30/2018 13:30,0.44
8/30/2018 13:45,0.36
8/30/2018 14:00,0.51
8/30/2018 14:15,0.29
8/30/2018 14:30,0.29
8/30/2018 14:45,0.87
8/30/2018 15:00,0.65
8/30/2018 15:15,0.58
8/30/2018 15:30,0.51
8/30/2018 15:45,0.58
8/30/2018 16:00,0.44
8/30/2018 16:15,0.22
8/30/2018 16:30,0.51
8/30/2018 16:45,0.51
8/30/2018 17:00,0.51
8/30/2018 17:15,0.73
8/30/2018 17:30,0.58
8/30/2018 17:45,3.05
8/30/2018 18:00,3.34
8/30/2018 18:15,3.41
8/30/2018 18:30,3.26
8/30/2018 18:45,3.26
8/30/2018 19:00,3.19
8/30/2018 19:15,2.1
8/30/2018 19:30,0.58
8/30/2018 19:45,0.65
8/30/2018 20:00,0.65
8/30/2018 20:15,0.73
8/30/2018 20:30,0.36
8/30/2018 20:45,0.51
8/30/2018 21:00,0.58
8/30/2018 21:15,0.94
8/30/2018 21:30,0.73
8/30/2018 21:45,0.65
8/30/2018 22:00,0.8
8/30/2018 22:15,0.58
8/30/2018 22:30,0.8
8/30/2018 22:45,0.87
8/30/2018 23:00,0.94
8/30/2018 23:15,3.19
8/30/2018 23:30,3.05
8/30/2018 23:45,3.34
8/31/2018 0:00,3.09
8/31/2018 1:00,0.54
8/31/2018 0:15,1.41
8/31/2018 0:30,0.6
8/31/2018 0:45,0.6
8/31/2018 1:15,0.4
8/31/2018 1:30,0.6
8/31/2018 1:45,0.6
8/31/2018 2:00,0.6
8/31/2018 2:15,0.67
8/31/2018 2:30,0.4
8/31/2018 2:45,0.47
8/31/2018 3:00,0.6
8/31/2018 3:15,0.67
8/31/2018 3:30,0.67
8/31/2018 3:45,0.4
8/31/2018 4:00,0.4
8/31/2018 5:00,0.54
8/31/2018 4:15,0.6
8/31/2018 4:30,0.81
8/31/2018 4:45,0.54
8/31/2018 6:00,0.67
8/31/2018 5:15,0.6
8/31/2018 5:30,0.54
8/31/2018 5:45,0.74
8/31/2018 6:15,0.67
8/31/2018 7:15,0.6
8/31/2018 6:30,0.54
8/31/2018 6:45,0.67
8/31/2018 7:00,0.74
8/31/2018 7:30,0.47
8/31/2018 7:45,0.4
8/31/2018 8:00,0.47
8/31/2018 8:15,0.07
8/31/2018 8:30,1.48
8/31/2018 8:45,0.81
8/31/2018 9:00,0.87
8/31/2018 9:15,0.94
8/31/2018 9:30,0.6
8/31/2018 9:45,0.47
8/31/2018 10:00,0.6
8/31/2018 10:15,0.54
8/31/2018 10:30,0.54
8/31/2018 10:45,0.6
8/31/2018 11:00,0.34
8/31/2018 11:15,0.4
8/31/2018 11:30,0.74
8/31/2018 11:45,0.54
8/31/2018 12:00,0.47
8/31/2018 12:15,0.54
8/31/2018 12:30,0.54
8/31/2018 12:45,0.6
8/31/2018 13:00,0.4
8/31/2018 13:15,0.47
8/31/2018 13:30,0.6
8/31/2018 13:45,0.47
8/31/2018 14:00,0.54
8/31/2018 14:15,0.6
8/31/2018 14:30,0.47
8/31/2018 14:45,0.4
8/31/2018 15:00,0.4
8/31/2018 15:15,0.54
8/31/2018 15:30,0.47
8/31/2018 15:45,0.54
8/31/2018 16:00,1.21
8/31/2018 16:15,0.74
8/31/2018 17:15,0.81
8/31/2018 16:30,0.67
8/31/2018 16:45,0.54
8/31/2018 17:00,0.81
8/31/2018 17:30,0.94
8/31/2018 17:45,0.94
8/31/2018 18:00,0.74
8/31/2018 18:15,0.81
8/31/2018 18:30,0.94
8/31/2018 18:45,0.81
8/31/2018 19:00,0.67
8/31/2018 19:15,0.67
8/31/2018 19:30,0.74
8/31/2018 19:45,0.87
8/31/2018 20:45,3.22
8/31/2018 20:00,0.94
8/31/2018 20:15,2.21
8/31/2018 20:30,3.22
8/31/2018 21:00,2.95
8/31/2018 21:15,3.15
8/31/2018 21:30,3.09
8/31/2018 21:45,3.15
8/31/2018 22:00,3.15
8/31/2018 22:15,3.15
8/31/2018 22:30,3.15
8/31/2018 22:45,3.15
8/31/2018 23:00,3.15
8/31/2018 23:15,3.15
8/31/2018 23:30,3.15
8/31/2018 23:45,3.15
9/1/2018 0:00,3.79
9/1/2018 1:00,3.63
9/1/2018 0:15,3.63
9/1/2018 0:30,3.55
9/1/2018 0:45,3.46
9/1/2018 1:15,3.63
9/1/2018 1:30,3.71
9/1/2018 1:45,3.63
9/1/2018 2:00,3.63
9/1/2018 2:15,0.89
9/1/2018 2:30,0.73
9/1/2018 2:45,0.81
9/1/2018 3:00,0.97
9/1/2018 3:15,0.81
9/1/2018 3:30,0.64
9/1/2018 3:45,0.56
9/1/2018 4:00,0.89
9/1/2018 4:15,0.81
9/1/2018 4:30,0.81
9/1/2018 4:45,0.81
9/1/2018 5:00,0.73
9/1/2018 5:15,0.81
9/1/2018 5:30,0.89
9/1/2018 5:45,0.89
9/1/2018 6:45,0.81
9/1/2018 6:00,0.81
9/1/2018 6:15,0.81
9/1/2018 6:30,0.89
9/1/2018 7:00,0.64
9/1/2018 7:15,0.89
9/1/2018 7:30,0.73
9/1/2018 7:45,0.64
9/1/2018 8:00,0.97
9/1/2018 8:15,1.05
9/1/2018 8:30,1.05
9/1/2018 8:45,0.64
9/1/2018 9:00,0.64
9/1/2018 9:15,0.81
9/1/2018 9:30,0.97
9/1/2018 9:45,1.05
9/1/2018 10:00,1.21
9/1/2018 10:15,1.61
9/1/2018 10:30,1.05
9/1/2018 10:45,0.48
9/1/2018 11:00,0.56
9/1/2018 12:00,0.32
9/1/2018 11:15,0.56
9/1/2018 11:30,0.4
9/1/2018 11:45,0.4
9/1/2018 12:15,0.81
9/1/2018 12:30,0.32
9/1/2018 12:45,0.64
9/1/2018 13:00,0.48
9/1/2018 14:00,0.48
9/1/2018 13:15,0.4
9/1/2018 13:30,0.16
9/1/2018 13:45,0.56
9/1/2018 14:15,0.64
9/1/2018 14:30,0.56
9/1/2018 14:45,0.4
9/1/2018 15:00,0.64
9/1/2018 15:15,0.48
9/1/2018 15:30,0.4
9/1/2018 15:45,0.4
9/1/2018 16:00,0.64
9/1/2018 16:15,1.45
9/1/2018 16:30,0.81
9/1/2018 16:45,0.97
9/1/2018 17:00,1.13
9/1/2018 17:15,1.29
9/1/2018 17:30,0.81
9/1/2018 17:45,0.81
9/1/2018 18:00,0.73
9/1/2018 18:15,1.85
9/1/2018 18:30,1.53
9/1/2018 18:45,0.97
9/1/2018 19:00,0.81
9/1/2018 19:15,0.73
9/1/2018 19:30,0.81
9/1/2018 19:45,0.56
9/1/2018 20:00,0.4
9/1/2018 20:15,0.89
9/1/2018 20:30,0.73
9/1/2018 20:45,0.73
9/1/2018 21:00,0.64
9/1/2018 21:15,0.56
9/1/2018 21:30,0.48
9/1/2018 21:45,0.73
9/1/2018 22:00,0.89
9/1/2018 23:30,0.81
9/1/2018 22:15,0.81
9/1/2018 22:30,0.89
9/1/2018 22:45,0.73
9/1/2018 23:00,0.97
9/1/2018 23:15,1.05
9/1/2018 23:45,0.81
9/2/2018 0:00,100
9/5/2018 1:00,1.08
9/5/2018 0:15,5.88
9/5/2018 0:30,0.9
9/5/2018 0:45,1.18
9/5/2018 1:15,0.99
9/5/2018 1:30,0.99
9/5/2018 1:45,1.27
9/5/2018 2:00,0.9
9/5/2018 2:15,0.81
9/5/2018 2:30,0.81
9/5/2018 2:45,0.81
9/5/2018 3:00,0.63
9/5/2018 3:15,0.9
9/5/2018 3:30,0.9
9/5/2018 3:45,0.99
9/5/2018 4:00,0.63
9/5/2018 4:15,0.63
9/5/2018 4:30,0.9
9/5/2018 4:45,0.9
9/5/2018 5:00,0.99
9/5/2018 5:15,0.72
9/5/2018 5:30,0.54
9/5/2018 5:45,0.9
9/5/2018 6:00,1.08
9/5/2018 6:15,0.81
9/5/2018 6:30,0.72
9/5/2018 6:45,0.63
9/5/2018 7:00,0.81
9/5/2018 7:15,0.99
9/5/2018 7:30,0.81
9/5/2018 7:45,0.63
9/5/2018 8:00,0.45
9/5/2018 8:15,0.63
9/5/2018 8:30,0.72
9/5/2018 8:45,0.72
9/5/2018 9:45,0.99
9/5/2018 9:00,0.81
9/5/2018 9:15,0.63
9/5/2018 9:30,1.72
9/5/2018 10:00,1.08
9/5/2018 10:15,1.81
9/5/2018 10:30,1.27
9/5/2018 10:45,0.72
9/5/2018 11:00,0.63
9/5/2018 11:15,0.72
9/5/2018 12:15,0.63
9/5/2018 11:30,0.81
9/5/2018 11:45,0.45
9/5/2018 12:00,0.45
9/5/2018 12:30,0.45
9/5/2018 12:45,0.54
9/5/2018 13:00,0.54
9/5/2018 13:15,0.54
9/5/2018 13:30,0.81
9/5/2018 13:45,0.81
9/5/2018 14:00,0.9
9/5/2018 14:15,0.72
9/5/2018 14:30,0.63
9/5/2018 14:45,0.72
9/5/2018 15:00,1.18
9/5/2018 15:15,0.72
9/5/2018 15:30,1.08
9/5/2018 15:45,0.9
9/5/2018 16:00,0.45
9/5/2018 16:15,0.63
9/5/2018 16:30,0.63
9/5/2018 16:45,0.81
9/5/2018 17:00,0.72
9/5/2018 17:15,0.54
9/5/2018 17:30,1.27
9/5/2018 17:45,1.45
9/5/2018 18:00,0.9
9/5/2018 18:15,0.81
9/5/2018 18:30,0.9
9/5/2018 18:45,0.99
9/5/2018 19:00,0.81
9/5/2018 19:15,0.54
9/5/2018 19:30,1.08
9/5/2018 19:45,1.08
9/5/2018 20:00,0.9
9/5/2018 20:15,0.81
9/5/2018 20:30,0.63
9/5/2018 20:45,1.08
9/5/2018 21:45,0.72
9/5/2018 21:00,1.18
9/5/2018 21:15,1.18
9/5/2018 21:30,1.18
9/5/2018 22:00,0.9
9/5/2018 22:15,1.08
9/5/2018 22:30,1.18
9/5/2018 22:45,1.54
9/5/2018 23:00,4.43
9/6/2018 0:00,3.3
9/5/2018 23:15,3.89
9/5/2018 23:30,3.98
9/5/2018 23:45,3.98
9/6/2018 1:00,3.45
9/6/2018 0:15,3.3
9/6/2018 0:30,3.37
9/6/2018 0:45,3.3
9/6/2018 1:15,3.45
9/6/2018 1:30,3.52
9/6/2018 1:45,3.52
9/6/2018 2:00,1.8
9/6/2018 2:15,0.97
9/6/2018 2:30,0.75
9/6/2018 2:45,0.67
9/6/2018 3:00,0.6
9/6/2018 3:15,0.67
9/6/2018 3:30,0.75
9/6/2018 3:45,0.75
9/6/2018 4:00,0.67
9/6/2018 4:15,0.6
9/6/2018 4:30,0.52
9/6/2018 4:45,0.75
9/6/2018 5:00,0.75
9/6/2018 5:15,0.75
9/6/2018 5:30,0.67
9/6/2018 5:45,0.52
9/6/2018 6:00,0.75
9/6/2018 6:15,0.75
9/6/2018 6:30,0.75
9/6/2018 6:45,0.67
9/6/2018 7:00,0.45
9/6/2018 7:15,0.6
9/6/2018 7:30,0.52
9/6/2018 7:45,0.67
9/6/2018 8:00,0.37
9/6/2018 8:15,0.45
9/6/2018 8:30,0.67
9/6/2018 8:45,0.82
9/6/2018 9:00,0.15
9/6/2018 9:15,0.97
9/6/2018 9:30,1.65
9/6/2018 9:45,1.12
9/6/2018 10:00,0.9
9/6/2018 10:15,0.6
9/6/2018 10:30,0.45
9/6/2018 10:45,0.45
9/6/2018 11:00,0.45
9/6/2018 12:00,0.22
9/6/2018 11:15,0.6
9/6/2018 11:30,0.37
9/6/2018 11:45,0.22
9/6/2018 12:15,0.67
9/6/2018 12:30,0.67
9/6/2018 12:45,0.75
9/6/2018 13:00,0.52
9/6/2018 13:15,0.75
9/6/2018 13:30,0.52
9/6/2018 13:45,0.67
9/6/2018 14:00,0.45
9/6/2018 14:15,0.67
9/6/2018 14:30,0.67
9/6/2018 14:45,1.05
9/6/2018 15:00,0.67
9/6/2018 15:15,0.67
9/6/2018 15:30,0.75
9/6/2018 15:45,0.6
9/6/2018 16:00,0.37
9/6/2018 16:15,0.52
9/6/2018 16:30,0.67
9/6/2018 16:45,0.6
9/6/2018 17:00,0.97
9/6/2018 17:15,1.35
9/6/2018 17:30,0.52
9/6/2018 17:45,0.67
9/6/2018 18:00,0.75
9/6/2018 18:15,0.6
9/6/2018 18:30,0.6
9/6/2018 18:45,0.67
9/6/2018 19:00,0.37
9/6/2018 19:15,0.6
9/6/2018 19:30,0.6
9/6/2018 19:45,0.9
9/6/2018 20:00,0.97
9/6/2018 20:15,0.45
9/6/2018 20:30,0.6
9/6/2018 20:45,0.6
9/6/2018 21:00,0.82
9/6/2018 21:15,0.67
9/6/2018 21:30,0.75
9/6/2018 21:45,0.75
9/6/2018 23:15,3.22
9/6/2018 22:00,0.6
9/6/2018 22:15,0.82
9/6/2018 22:30,0.9
9/6/2018 22:45,3.3
9/6/2018 23:00,3.07
9/6/2018 23:30,3.22
9/6/2018 23:45,3.22
9/7/2018 0:00,4.08
9/7/2018 0:15,3.32
9/7/2018 0:30,0.95
9/7/2018 0:45,0.95
9/7/2018 1:00,1.04
9/7/2018 1:15,0.85
9/7/2018 1:30,0.85
9/7/2018 1:45,0.85
9/7/2018 2:00,0.85
9/7/2018 2:15,0.76
9/7/2018 2:30,0.66
9/7/2018 2:45,0.85
9/7/2018 3:00,0.95
9/7/2018 3:15,0.85
9/7/2018 3:30,0.76
9/7/2018 3:45,0.57
9/7/2018 4:00,0.95
9/7/2018 4:15,0.85
9/7/2018 4:30,0.85
9/7/2018 4:45,0.76
9/7/2018 5:00,0.66
9/7/2018 5:15,0.85
9/7/2018 5:30,0.85
9/7/2018 5:45,0.85
9/7/2018 6:00,0.85
9/7/2018 6:15,0.09
9/7/2018 6:30,0.76
9/7/2018 6:45,0.85
9/7/2018 7:00,0.85
9/7/2018 7:15,0.66
9/7/2018 7:30,0.38
9/7/2018 7:45,0.57
9/7/2018 8:00,0.76
9/7/2018 8:15,0.95
9/7/2018 8:30,1.04
9/7/2018 8:45,0.76
9/7/2018 10:15,1.8
9/7/2018 9:00,0.76
9/7/2018 9:15,1.04
9/7/2018 9:30,1.04
9/7/2018 9:45,0.95
9/7/2018 10:00,1.8
9/7/2018 10:30,0.85
9/7/2018 10:45,0.76
9/7/2018 11:00,0.57
9/7/2018 11:15,0.38
9/7/2018 11:30,0.85
9/7/2018 11:45,0.66
9/7/2018 12:00,0.57
9/7/2018 12:15,0.66
9/7/2018 12:30,0.57
9/7/2018 12:45,0.19
9/7/2018 13:00,0.76
9/7/2018 13:15,0.47
9/7/2018 13:30,0.47
9/7/2018 13:45,0.57
9/7/2018 14:00,0.47
9/7/2018 14:15,0.66
9/7/2018 15:15,0.95
9/7/2018 15:30,0.85
9/7/2018 15:45,0.76
9/7/2018 16:00,0.76
9/7/2018 16:15,0.95
9/7/2018 16:30,0.76
9/7/2018 16:45,0.57
9/7/2018 17:00,0.76
9/7/2018 17:15,1.71
9/7/2018 17:30,1.14
9/7/2018 17:45,0.95
9/7/2018 18:00,0.95
9/7/2018 18:15,0.85
9/7/2018 18:30,0.95
9/7/2018 18:45,0.76
9/7/2018 19:00,0.85
9/7/2018 19:15,0.95
9/7/2018 19:30,0.76
9/7/2018 19:45,0.85
9/7/2018 20:00,0.85
9/7/2018 20:15,0.85
9/7/2018 20:30,1.04
9/7/2018 21:15,1.99
9/7/2018 14:30,0.57
9/7/2018 14:45,1.23
9/7/2018 15:00,0.95
9/7/2018 20:45,1.04
9/7/2018 21:00,0.85
9/7/2018 21:30,4.08
9/7/2018 21:45,3.23
9/7/2018 22:00,0.66
9/7/2018 22:15,3.51
9/7/2018 22:30,4.27
9/7/2018 22:45,1.61
9/7/2018 23:00,1.23
9/7/2018 23:15,1.23
9/7/2018 23:30,1.23
9/7/2018 23:45,1.23
9/8/2018 0:00,1.58
9/8/2018 0:15,2.43
9/8/2018 0:30,1.33
9/8/2018 0:45,1.58
9/8/2018 1:00,1.46
9/8/2018 2:00,1.21
9/8/2018 1:15,1.21
9/8/2018 1:30,1.09
9/8/2018 1:45,1.33
9/8/2018 2:15,1.09
9/8/2018 2:30,0.85
9/8/2018 2:45,0.73
9/8/2018 3:00,1.33
9/8/2018 3:15,1.21
9/8/2018 3:30,0.85
9/8/2018 3:45,0.85
9/8/2018 4:00,0.97
9/8/2018 4:15,1.21
9/8/2018 4:30,1.33
9/8/2018 4:45,0.73
9/8/2018 5:00,0.73
9/8/2018 5:15,1.21
9/8/2018 5:30,1.21
9/8/2018 5:45,1.09
9/8/2018 6:00,0.73
9/8/2018 6:15,0.85
9/8/2018 6:30,1.21
9/8/2018 6:45,1.33
9/8/2018 7:00,0.85
9/8/2018 7:15,0.73
9/8/2018 7:30,0.97
9/8/2018 7:45,1.7
9/8/2018 8:45,0.85
9/8/2018 8:00,1.33
9/8/2018 8:15,0.24
9/8/2018 8:30,0.61
9/8/2018 9:00,1.33
9/8/2018 9:15,2.43
9/8/2018 9:30,0.97
9/8/2018 9:45,1.09
9/8/2018 10:00,0.36
9/8/2018 10:15,0.73
9/8/2018 10:30,0.85
9/8/2018 10:45,0.49
9/8/2018 11:00,0.36
9/8/2018 11:15,0.61
9/8/2018 11:30,0.73
9/8/2018 12:30,0.61
9/8/2018 11:45,0.49
9/8/2018 12:00,0.85
9/8/2018 12:15,0.61
9/8/2018 12:45,0.73
9/8/2018 13:00,0.61
9/8/2018 13:15,0.97
9/8/2018 13:30,0.12
9/8/2018 13:45,0.61
9/8/2018 14:00,0.73
9/8/2018 14:15,0.97
9/8/2018 14:30,0.73
9/8/2018 14:45,0.61
9/8/2018 15:00,0.61
9/8/2018 15:15,0.85
9/8/2018 15:30,0.85
9/8/2018 15:45,0.61
9/8/2018 16:00,0.49
9/8/2018 16:15,0.24
9/8/2018 16:30,0.97
9/8/2018 16:45,0.73
9/8/2018 17:00,1.09
9/8/2018 17:15,0.85
9/8/2018 17:30,0.73
9/8/2018 17:45,2.18
9/8/2018 18:00,1.09
9/8/2018 18:15,1.21
9/8/2018 18:30,0.97
9/8/2018 18:45,0.97
9/8/2018 19:00,1.21
9/8/2018 20:00,0.61
9/8/2018 19:15,0.97
9/8/2018 19:30,0.61
9/8/2018 19:45,0.49
9/8/2018 20:15,1.46
9/8/2018 20:30,1.46
9/8/2018 20:45,0.97
9/8/2018 21:00,1.09
9/8/2018 21:15,1.58
9/8/2018 21:30,1.58
9/8/2018 21:45,1.21
9/8/2018 22:00,0.61
9/8/2018 22:15,0.85
9/8/2018 22:30,1.09
9/8/2018 23:30,3.64
9/8/2018 22:45,1.82
9/8/2018 23:00,1.21
9/8/2018 23:15,0.85
9/8/2018 23:45,3.64
9/9/2018 0:00,2.8
9/9/2018 1:00,0.84
9/9/2018 0:15,6.72
9/9/2018 0:30,0.93
9/9/2018 0:45,0.75
9/9/2018 1:15,1.03
9/9/2018 1:30,0.84
9/9/2018 1:45,0.93
9/9/2018 2:00,0.84
9/9/2018 2:15,0.93
9/9/2018 2:30,1.03
9/9/2018 2:45,0.65
9/9/2018 3:00,0.56
9/9/2018 3:15,0.93
9/9/2018 3:30,0.93
9/9/2018 3:45,0.84
9/9/2018 4:00,0.65
9/9/2018 4:15,0.56
9/9/2018 4:30,1.03
9/9/2018 4:45,0.93
9/9/2018 5:00,0.75
9/9/2018 5:15,0.65
9/9/2018 5:30,0.75
9/9/2018 5:45,0.93
9/9/2018 6:00,1.03
9/9/2018 6:15,0.56
9/9/2018 6:30,0.65
9/9/2018 6:45,0.84
9/9/2018 7:00,0.84
9/9/2018 7:15,0.93
9/9/2018 7:30,0.56
9/9/2018 7:45,0.47
9/9/2018 8:00,0.75
9/9/2018 8:15,0.65
9/9/2018 8:30,0.56
9/9/2018 9:30,0.75
9/9/2018 8:45,0.28
9/9/2018 9:00,0.37
9/9/2018 9:15,0.75
9/9/2018 9:45,0.37
9/9/2018 10:00,1.12
9/9/2018 10:15,1.87
9/9/2018 10:30,1.03
9/9/2018 10:45,0.93
9/9/2018 11:00,0.37
9/9/2018 11:15,0.75
9/9/2018 12:45,0.93
9/9/2018 11:30,0.93
9/9/2018 11:45,0.93
9/9/2018 12:00,0.56
9/9/2018 12:15,0.75
9/9/2018 12:30,0.75
9/9/2018 13:00,0.84
9/9/2018 13:15,0.56
9/9/2018 13:30,0.56
9/9/2018 13:45,0.93
9/9/2018 14:00,0.93
9/9/2018 14:15,0.75
9/9/2018 14:30,0.84
9/9/2018 14:45,0.75
9/9/2018 15:00,0.65
9/9/2018 15:15,0.75
9/9/2018 15:30,0.65
9/9/2018 15:45,1.03
9/9/2018 16:00,0.84
9/9/2018 16:15,0.75
9/9/2018 16:30,4.2
9/9/2018 16:45,4.01
9/9/2018 17:00,2.8
9/9/2018 17:15,0.84
9/9/2018 17:30,0.75
9/9/2018 17:45,1.96
9/9/2018 18:00,0.93
9/9/2018 18:15,0.56
9/9/2018 18:30,0.75
9/9/2018 18:45,0.93
9/9/2018 19:00,1.21
9/9/2018 19:15,0.93
9/9/2018 19:30,0.93
9/9/2018 19:45,1.21
9/9/2018 20:00,1.21
9/9/2018 20:15,0.93
9/9/2018 20:30,1.03
9/9/2018 20:45,1.03
9/9/2018 21:00,1.12
9/9/2018 21:15,1.03
9/9/2018 21:30,1.12
9/9/2018 21:45,0.65
9/9/2018 22:00,0.56
9/9/2018 22:15,0.93
9/9/2018 23:15,0.84
9/9/2018 22:30,1.03
9/9/2018 22:45,1.03
9/9/2018 23:00,1.12
9/9/2018 23:30,1.21
9/9/2018 23:45,3.26
9/10/2018 0:00,4.31
9/10/2018 1:00,0.92
9/10/2018 0:15,1.74
9/10/2018 0:30,0.92
9/10/2018 0:45,1.13
9/10/2018 1:15,0.72
9/10/2018 1:30,0.82
9/10/2018 1:45,0.92
9/10/2018 2:00,1.03
9/10/2018 2:15,0.82
9/10/2018 2:30,0.82
9/10/2018 2:45,0.72
9/10/2018 3:45,1.03
9/10/2018 3:00,1.03
9/10/2018 3:15,0.92
9/10/2018 3:30,0.92
9/10/2018 4:00,0.82
9/10/2018 4:15,1.23
9/10/2018 4:30,0.92
9/10/2018 4:45,1.13
9/10/2018 5:00,1.03
9/10/2018 5:15,0.92
9/10/2018 5:30,0.82
9/10/2018 5:45,0.51
9/10/2018 6:00,1.23
9/10/2018 6:15,0.92
9/10/2018 6:30,1.03
9/10/2018 6:45,0.51
9/10/2018 7:00,0.82
9/10/2018 7:15,1.03
9/10/2018 7:30,1.03
9/10/2018 8:30,0.92
9/10/2018 7:45,0.72
9/10/2018 8:00,0.72
9/10/2018 8:15,0.51
9/10/2018 8:45,0.72
9/10/2018 9:00,0.82
9/10/2018 9:15,0.51
9/10/2018 9:30,0.82
9/10/2018 9:45,0.62
9/10/2018 10:00,1.13
9/10/2018 10:15,1.03
9/10/2018 10:30,1.95
9/10/2018 10:45,1.85
9/10/2018 11:00,2.05
9/10/2018 11:15,1.23
9/10/2018 11:30,0.72
9/10/2018 11:45,0.51
9/10/2018 12:00,0.92
9/10/2018 12:15,1.13
9/10/2018 12:30,0.72
9/10/2018 12:45,0.62
9/10/2018 13:00,0.51
9/10/2018 13:15,0.82
9/10/2018 13:30,0.72
9/10/2018 13:45,1.03
9/10/2018 14:45,1.03
9/10/2018 14:00,0.62
9/10/2018 14:15,0.82
9/10/2018 14:30,0.51
9/10/2018 15:00,0.72
9/10/2018 16:00,1.13
9/10/2018 15:15,1.33
9/10/2018 15:30,0.72
9/10/2018 15:45,1.13
9/10/2018 16:15,1.23
9/10/2018 16:30,1.13
9/10/2018 16:45,1.44
9/10/2018 17:00,1.13
